["Ok so in like three days or less my crewneck comes in HOPEFULLY", "Arkansas"]
["kill me now fam", "Arkansas"]
["RT FBI agrees to unlock iPhone in Arkansas homicide", "Arkansas"]
["RT Tr s e quatro e triplo kill kappa", "Arkansas"]
["guess who s turning 18 in 3 days haha lol kill me", "Arkansas"]
["I m gonna go for the GPPA program too Guaranteed law degree program would be nice", "Arkansas"]
["KolkataFlyoverCollapse Police consider possible murder charges against employees", "Arkansas"]
["RT Artistas financiados pelo governo e que saem em defesa do crime s o usurpadores de prest gio e estelionat rios da fama", "Arkansas"]
["Governors and Corporations Unite Against North Carolina s Anti LGBT Bill Apple Airbnb Facebook and", "Arkansas"]
["Governors and Corporations Unite Against North Carolina s Anti LGBT Bill Apple Airbnb Facebook and", "Arkansas"]
["Can you recommend anyone for this Automotive job Skippers VA Hiring CareerArc", "Washington"]
["Why Putin thinks anti NATO Trump is the best thing that happened to Russia since the end of the Cold War", "Washington"]
["Are you working on anything new", "Washington"]
["Dat gym got my body hurtin I ain t lyin", "Washington"]
["Laugh Out loud You re never going to get an interview that way", "Washington"]
["I cut the shit out of my legs shaving", "Washington"]
["okay bet", "Washington"]
["I m jealous", "Washington"]
["thanks clo", "Washington"]
["If you fail to plan then you planning to fail 5Deep BYB The", "Washington"]
["STOP ON YOUR RIGHT FOOT AND DONT FORGET IT NOW BRING IT AROUND TOWNNNNNNN", "Washington"]
["I m an awful awful student and don t deserve anything good in life honestly ugh", "Washington"]
["Can you recommend anyone for this job Electronic Technician 2 Washington DC Engineering Veterans Hiring", "Washington"]
["BUSHGARDEN", "Washington"]
["I know That s my question", "Washington"]
["Fuck yes", "Washington"]
["koreanwarveteransmemorial Korean War Veterans Memorial", "Washington"]
["ugh I wish miss u more", "Washington"]
["like literally throw me in the fucking trash", "Washington"]
["antasiaanicole", "Washington"]
["Tide in Cherry Island Maryland 03 24 2016 Low 11 50am 0 1 High 5 27pm 1 4 Low 11 41pm 0 2 High 5 36am 1 6", "Washington"]
["thanks i love you too", "Washington"]
["Vintage Spider Man", "Washington"]
["I saw this AB in the replay and felt a profound despair", "Washington"]
["or on the pavement", "Washington"]
["good morning twitter", "Washington"]
["I m at Piney Branch Hill at Rock Creek Park in Washington DC", "Washington"]
["Market looking good stocks holding strong", "Washington"]
["Thanks", "Washington"]
["Gauze98 it s a long story Lol I ll tell ya this evening", "Washington"]
["just in my office And do you really think he would talk to me anyway", "Washington"]
["Freddy Got Fingered is a shit movie and why would someone keep a VHS tape of it for 14 years", "Washington"]
["Ailing alone amp 89 How could Hilda Reynolds be joyous Great piece Support", "Washington"]
["wtf just happened", "Washington"]
["I can really make you think differently about life", "Washington"]
["tbt to when we got arrested at sweetlife", "Washington"]
["", "Washington"]
["", "Washington"]
["What s your next project guys YoungLoveLive", "Washington"]
["thanks girl", "Washington"]
["Known for changing lives too", "Washington"]
["Enjoy this gorgeous day", "Washington"]
["idk what s funnier watching Layla pick ever flower weeds from the ground or HankBuck cussing his broken tractor out", "Washington"]
["Shimmy Shimmy Ya ODB will be one of my top ten favorite hip hop records", "Washington"]
["CVS Health Retail Job Retail Store Positions Winchester VA Jobs Hiring CareerArc", "Washington"]
["This dumbass is just NOW figuring this out Glad he s off the damn metro board", "Washington"]
["Move in silence success is loud enough on its own", "Washington"]
["morning World", "Washington"]
["Did the report explicitly say EO 12333 That seemed to be the case but it could be both EO 12333 and Sec 702", "Washington"]
["nahhh stay up", "Washington"]
["Can you recommend anyone for this job Registered Nurse Emergency Adult Columbia MD Nursing Hiring", "Washington"]
["McCree house The after shot Looks good TeamDepot", "Washington"]
["like it s fine I just feel like death constantly whatever", "Washington"]
["BREAKING Radovan Karadzic the former Bosnian Serb leader has been convicted of genocide war crimes and crimes against humanity", "Washington"]
["Hell yeah", "Washington"]
["HB4881 NEW To amend the Food and Nutrition Act of 2008 to require that supplemental nutrition assistance benefi", "Washington"]
